promotion_id,promotion_name,product_id,product_name,brand
402,Promo Gajian Indomaret,101,Indomie Goreng Spesial,Indomie
402,Promo Gajian Indomaret,102,Indomie Kuah Rasa Ayam Bawang,Indomie
402,Promo Gajian Indomaret,103,Indomie Goreng Rendang,Indomie
402,Promo Gajian Indomaret,104,Indomie Kari Ayam Extra Bawang,Indomie
402,Promo Gajian Indomaret,105,Pop Mie Rasa Ayam,Pop Mie
402,Promo Gajian Indomaret,106,Pop Mie Goreng Spesial,Pop Mie
402,Promo Gajian Indomaret,107,Pop Mie Rasa Baso,Pop Mie
403,Diskon Hari Raya,115,Indomilk Susu Cair Cokelat,Indomilk
403,Diskon Hari Raya,116,Indomilk Susu Kental Manis Putih,Indomilk
403,Diskon Hari Raya,117,Ichi Ocha Green Tea,Ichi Ocha
403,Diskon Hari Raya,118,Club Air Mineral 600ml,Club
403,Diskon Hari Raya,119,Bumbu Racik Ayam Goreng,Racik
403,Diskon Hari Raya,120,Bumbu Racik Sayur Sop,Racik
404,Bundling Merdeka,108,Chitato Sapi Panggang,Chitato
404,Bundling Merdeka,109,Chitato Ayam Bumbu,Chitato
404,Bundling Merdeka,110,Chitato Lite Rumput Laut,Chitato
404,Bundling Merdeka,111,Qtela Singkong Original,Qtela
404,Bundling Merdeka,112,Qtela Singkong Barbeque,Qtela
404,Bundling Merdeka,113,Chiki Balls Keju,Chiki
404,Bundling Merdeka,114,JetZ Chocolate,JetZ
